Original_Index,Supplier,Lock_Reason,Extracted,Status,Corrected_Requirement
0,Bio-Zentrale Naturprodukte GmbH,"3.2.10 Major:
 Work clothing is cleaned by employees in the company. The cleaned clothing is stored in open shelves and grey boxes, including on the cover. On the shelf in the men's changing room were 2 compartments with towels and on the shelf were work gloves and a towel next to cleaned work clothes. In the women's changing room, a worn coat was placed on the shelf next to freshly washed laundry. Hygienic storage is not possible.
 
 The following requirements are not ensured:
 - sufficient seg",3.2.10,OK,
1,CAPOL GmbH,"5.5.2
 End products are weighed piece by piece on calibrated scales. Automatic filling
 systems are used or filling is carried out manually by employees. In some cases,
 weight corrections must also be carried out by employees on filling systems.
 There is no inspection plan and no associated documented quantity control per
 batch. The individual weights filled are not documented by the scales.
 Compliance with the correct nominal filling quantity can therefore not be verified
 due to a lack of ",5.5.2,OK,
2,Fude + Serrahn Milchprodukte GmbH & Co. KG,"During IFS on site integrity check audit (29 04 2025) 2 deviations have been issue :
 1) KO rating for the requirement 4.12.1: The company has not implemented any procedures to prevent contamination with unwanted substances (paper, paint and ink) during the processing of reworked butter.
 2) KO rating for the requirement 4.18.1: During the traceability check carried out during the site inspection, it was found that the system does not include all records relevant for the company","4.18.1, 4.12.1",MULTIPLE,
3,Coli S.p.A.,Site denies auditor’s access during the unannounced audit scheduled for 29-30/04/2025.,,MISSING,
4,Patisserie Jack Heesen B.V.,"During the IOC audit completed on site on 24-April-2025 the following Major NCs and KO were identified:
  
 5.11.3 - KO - During the onsite check the following deviations were seen that were scored previous audit a D.
 3.2.1 At two places (Maintenance chart and in desk production line production area) packaging containing food supplements and candy were found. Due to no seen use and or any traces in the near vicinity of open products no higher deviation. During the onsite check ice-creams were s","4.13.4, 4.10.1, 3.2.1, 4.10.2, 5.11.3",MULTIPLE,
5,Meisters Wurst- und Fleischwaren Bautzen GmbH,Business operations have been discontinued.,,MISSING,
6,"Vitakraft pet care GmbH & Co. KG, Betriebstätte Bierden","KO against Req. 4.18.1
 During an IFS Integrity on-site check a KO non-conformity had been raised due to the following reason. In the area where the sauce was made, there was a pallet with wheat flour T812, Vitakraft 25 kg with a best-before date of 08.10.2025 (manufacturer's label on the bag). The internal batch number is 202604 D14, material number 100805. The batch label for the batch used according to SAP was hanging on the wall. Material 100805, production date 21.04.2025, goods receipt dat",4.18.1,OK,
7,FRANCIA MOZZARELLA GmbH,"3.2.2 The hygiene requirements for entering production were not met by ONE employee. 
 4.2.1.3 There are no sufficiently detailed specifications for rework.
 4.18.1 Containers with alleged rework were not labelled. The identification of product batches and their relation to batches of raw materials was not possible.","4.2.1.3, 3.2.2, 4.18.1",MULTIPLE,
8,ADM WILD Nauen GmbH,"1.2.1 As required, management must ensure that
 employees are aware of their responsibilities regarding
 food safety and product quality and that
 mechanisms are in place to monitor the effectiveness of their actions at
 . These mechanisms are identified and documented.
 The significant deficiencies identified during the site visit*:
 -for example numerous personnel hygiene facilities were not in
 sufficiently functional condition or personnel hygiene
 requirements were not observed in individua","4.18.1, 1.2.1, 2.3.6.1",MULTIPLE,
9,Buckl Geflügel GmbH & Co. KG,"Authority order: Prohibition of the slaughter of poultry due to animal welfare violations by employees. Production was stopped.
 The certificate can be reinstated if the competent authority issues the approval again.",,MISSING,
10,LÁCTEOS CAPRINOS S.A.,"During the re-certification audit, a major non-conformity has been detected in requirement 5.4.1: Against the indications of article 13 of RD 1801/2008, the scale used for the control of 100g. products does not comply with the acceptance criteria.
 Furthermore, against to what is indicated in the ICT 155/2020 order, the scale used for the control of 15 kg bags, which is used for commercial transactions with a USA customer, does not have a biennial metrological verification.",5.4.1,OK,
11,Mecklenburger Backstuben GmbH,"During IFS Food v 8 audit on 07-08.05.2025 the following Major NC against the cl. 4.13.2:
 During the site inspection as part of the audit on 8 May 2025 at around 09:00, the use of sticky traps for rodent control was detected, which did not comply with local legal requirements.
 A total of 4 sticky traps with several dead mice of different ages were found in the production room next door. The use of sticky traps for rodent control is a breach of the Animal Welfare Act (TierSchG) v. 20.12.2022 I ",4.13.2,OK,
12,"VICASOL, S.C.A. - Centro 2 S.C.A","On 22,23,24-04-2025 was performed an unannounced audit, and the auditor rated 1 KO No Conformity in this audit for the following requirement:
 
 • KO rating for requirement 3.2.2:
 During the visit to the plant, non-compliances with hygiene standards were detected:
 - evidence of smoking inside the facilities (toilets in the handling area) on 22 and 23 April, strong smell of tobacco and presence of ash.
 - presence of cigarette butts and two drink cans in the packaging material storing area loca",3.2.2,OK,
14,VION Vilshofen GmbH,Vion Vilshofen no longer exists.,,MISSING,
15,Italcanditi B.V.,"During the audit completed on site on 12-13-14/05/2025 the following Major NC was identified:
 4.5.1 Major NC:
 The company uses polypropylene (PP) buckets supplied by Jockey Plast (DoC 14.5.25) for hot filling at temperatures between 77 °C and 88 °C.
 Although the Declaration of Compliance (DoC) allows hot filling of acidic products between 70 °C and 100 °C, it specifies that the product must cool to 50 °C within 1 hour.
 In practice:
 10 kg buckets reach 60 °C only after 12 hours
 2 kg buckets",4.5.1,OK,
17,ROYAL SAVEURS S.A.S.,"Following the declaration received on 06/05/2025 of a major fire during the night of April 21 to 22, 2025, Bureau Veritas France cannot guarantee the integrity of the certification without further action.",,MISSING,
18,CEDROB FOODS S.A.,Fire at part of the plant /warehouse. Production has been stopped.,,MISSING,
21,Bergland Food GmbH,"KO in 1.2.1
 Based on the samples reviewed during the audit, the food safety and product quality management system is not fully implemented, maintained and reviewed. Employees could not demonstrate in all areas that they are aware of their responsibilities.
 The following examples:
 1) Receipt of frozen commercial goods: The unloading of the delivering truck was carried out on the first day of the audit without incoming goods inspection / checking the incoming goods temperature (CP 1). The respo","1.2.1, 5.11.3, 4.12.2",MULTIPLE,
23,CHIOS GARDENS JUICE INDUSTRY SA,The production activity of this company has been stopped.,,MISSING,
